Date,Time,Open,High,Low,Close,Volume,Class - Next Close,Class - Price UP,Class Pips Change,Class 10 Pip change,Class 25 pip change
2017.01.13,7:30,1.06149,1.0615,1.06127,1.06131,955,1.0617,TRUE,3.9,ranging,ranging
2017.01.13,7:45,1.06131,1.06173,1.06123,1.0617,884,1.06227,TRUE,5.7,ranging,ranging
2017.01.13,8:00,1.06169,1.06263,1.06142,1.06227,2591,1.06175,FALSE,-5.2,ranging,ranging
2017.01.13,8:15,1.06227,1.06237,1.06174,1.06175,1530,1.06237,TRUE,6.2,ranging,ranging
2017.01.13,8:30,1.06175,1.06253,1.06175,1.06237,1237,1.06292,TRUE,5.5,ranging,ranging
2017.01.13,8:45,1.06238,1.06299,1.06221,1.06292,1727,1.06337,TRUE,4.5,ranging,ranging
2017.01.13,9:00,1.06292,1.06363,1.06239,1.06337,3413,1.06378,TRUE,4.1,ranging,ranging
2017.01.13,9:15,1.06337,1.06389,1.06267,1.06378,2688,1.06365,FALSE,-1.3,ranging,ranging
2017.01.13,9:30,1.06378,1.06407,1.06318,1.06365,2797,1.06311,FALSE,-5.4,ranging,ranging
2017.01.13,9:45,1.06365,1.06398,1.0629,1.06311,2531,1.06362,TRUE,5.1,ranging,ranging
2017.01.13,10:00,1.06311,1.06434,1.06248,1.06362,4065,1.06322,FALSE,-4,ranging,ranging
2017.01.13,10:15,1.06363,1.0638,1.06299,1.06322,3145,1.06314,FALSE,-0.8,ranging,ranging
2017.01.13,10:30,1.06322,1.06376,1.06284,1.06314,3226,1.0634,TRUE,2.6,ranging,ranging
2017.01.13,10:45,1.06313,1.06355,1.06294,1.0634,2632,1.06346,TRUE,0.6,ranging,ranging
2017.01.13,11:00,1.06342,1.0636,1.06274,1.06346,2227,1.06458,TRUE,11.2,+10Pips,ranging
2017.01.13,11:15,1.06346,1.0649,1.06345,1.06458,3053,1.06429,FALSE,-2.9,ranging,ranging
2017.01.13,11:30,1.06458,1.06509,1.06423,1.06429,1987,1.0644,TRUE,1.1,ranging,ranging
2017.01.13,11:45,1.06428,1.06451,1.06401,1.0644,1879,1.06488,TRUE,4.8,ranging,ranging
2017.01.13,12:00,1.0644,1.06514,1.06439,1.06488,1909,1.06504,TRUE,1.6,ranging,ranging
2017.01.13,12:15,1.06488,1.06541,1.06451,1.06504,1982,1.06431,FALSE,-7.3,ranging,ranging
2017.01.13,12:30,1.06504,1.06521,1.06414,1.06431,2639,1.0644,TRUE,0.9,ranging,ranging
2017.01.13,12:45,1.0643,1.06468,1.06403,1.0644,2322,1.06482,TRUE,4.2,ranging,ranging
2017.01.13,13:00,1.06441,1.06497,1.06433,1.06482,2185,1.06516,TRUE,3.4,ranging,ranging
2017.01.13,13:15,1.06482,1.06575,1.06475,1.06516,2422,1.06495,FALSE,-2.1,ranging,ranging
2017.01.13,13:30,1.06517,1.06535,1.0649,1.06495,1951,1.06457,FALSE,-3.8,ranging,ranging
2017.01.13,13:45,1.06495,1.06532,1.0645,1.06457,1804,1.06465,TRUE,0.8,ranging,ranging
2017.01.13,14:00,1.06457,1.06479,1.06431,1.06465,1746,1.06434,FALSE,-3.1,ranging,ranging
2017.01.13,14:15,1.06465,1.06513,1.06429,1.06434,1879,1.06469,TRUE,3.5,ranging,ranging
2017.01.13,14:30,1.06434,1.06485,1.06433,1.06469,2016,1.06447,FALSE,-2.2,ranging,ranging
2017.01.13,14:45,1.06469,1.06586,1.06436,1.06447,3243,1.06609,TRUE,16.2,+10Pips,ranging
2017.01.13,15:00,1.06451,1.0661,1.06448,1.06609,2712,1.06587,FALSE,-2.2,ranging,ranging
2017.01.13,15:15,1.06608,1.06651,1.06551,1.06587,3425,1.06541,FALSE,-4.6,ranging,ranging
2017.01.13,15:30,1.06586,1.06751,1.06201,1.06541,12270,1.06451,FALSE,-9,ranging,ranging
2017.01.13,15:45,1.0654,1.06547,1.06433,1.06451,6783,1.06399,FALSE,-5.2,ranging,ranging
2017.01.13,16:00,1.06453,1.06523,1.06262,1.06399,7266,1.06395,FALSE,-0.4,ranging,ranging
2017.01.13,16:15,1.064,1.06433,1.06244,1.06395,5615,1.06199,FALSE,-19.6,-10Pips,ranging
2017.01.13,16:30,1.06396,1.06396,1.06168,1.06199,6714,1.06046,FALSE,-15.3,-10Pips,ranging
2017.01.13,16:45,1.06199,1.06207,1.0601,1.06046,4607,1.06139,TRUE,9.3,ranging,ranging
2017.01.13,17:00,1.06043,1.0616,1.0596,1.06139,7016,1.06193,TRUE,5.4,ranging,ranging
2017.01.13,17:15,1.0614,1.06219,1.06029,1.06193,4980,1.06272,TRUE,7.9,ranging,ranging
2017.01.13,17:30,1.06195,1.06287,1.06164,1.06272,3785,1.06232,FALSE,-4,ranging,ranging
2017.01.13,17:45,1.06273,1.06294,1.06189,1.06232,3553,1.06229,FALSE,-0.3,ranging,ranging
2017.01.13,18:00,1.06231,1.0627,1.06179,1.06229,3082,1.06136,FALSE,-9.3,ranging,ranging
2017.01.13,18:15,1.0623,1.06284,1.06118,1.06136,3634,1.06268,TRUE,13.2,+10Pips,ranging
2017.01.13,18:30,1.06137,1.06274,1.06129,1.06268,2996,1.06241,FALSE,-2.7,ranging,ranging
2017.01.13,18:45,1.06269,1.0631,1.06229,1.06241,2844,1.06292,TRUE,5.1,ranging,ranging
2017.01.13,19:00,1.06242,1.06293,1.06219,1.06292,1787,1.06372,TRUE,8,ranging,ranging
2017.01.13,19:15,1.06292,1.06383,1.06268,1.06372,2915,1.06386,TRUE,1.4,ranging,ranging
2017.01.13,19:30,1.06372,1.06416,1.06306,1.06386,2479,1.06371,FALSE,-1.5,ranging,ranging
2017.01.13,19:45,1.06387,1.06404,1.06329,1.06371,2074,1.06359,FALSE,-1.2,ranging,ranging
2017.01.13,20:00,1.06372,1.06441,1.06355,1.06359,2322,1.06354,FALSE,-0.5,ranging,ranging
2017.01.13,20:15,1.06359,1.0637,1.06302,1.06354,1796,1.06304,FALSE,-5,ranging,ranging
2017.01.13,20:30,1.06353,1.06358,1.06293,1.06304,1524,1.06319,TRUE,1.5,ranging,ranging
2017.01.13,20:45,1.06303,1.06366,1.06297,1.06319,1082,1.06403,TRUE,8.4,ranging,ranging
2017.01.13,21:00,1.06319,1.06409,1.06298,1.06403,1469,1.06444,TRUE,4.1,ranging,ranging
2017.01.13,21:15,1.06404,1.06454,1.06374,1.06444,1437,1.0648,TRUE,3.6,ranging,ranging
2017.01.13,21:30,1.06441,1.06528,1.06414,1.0648,1444,1.06436,FALSE,-4.4,ranging,ranging
2017.01.13,21:45,1.06479,1.06488,1.06427,1.06436,1659,1.06454,TRUE,1.8,ranging,ranging
2017.01.13,22:00,1.06436,1.06463,1.06392,1.06454,1657,1.06411,FALSE,-4.3,ranging,ranging
2017.01.13,22:15,1.06454,1.06474,1.06411,1.06411,1251,1.06379,FALSE,-3.2,ranging,ranging
2017.01.13,22:30,1.06413,1.06456,1.06376,1.06379,1233,1.06368,FALSE,-1.1,ranging,ranging
2017.01.13,22:45,1.06379,1.06429,1.06356,1.06368,1874,1.06392,TRUE,2.4,ranging,ranging
2017.01.13,23:00,1.06368,1.064,1.06366,1.06392,1009,1.06441,TRUE,4.9,ranging,ranging
2017.01.13,23:15,1.06392,1.06446,1.06389,1.06441,545,1.06408,FALSE,-3.3,ranging,ranging
2017.01.13,23:30,1.06442,1.06449,1.06407,1.06408,501,1.06417,TRUE,0.9,ranging,ranging
