Time,ThreeTrend,AboveMA5,AboveMA10,AboveMA20,10PipChange
19:00,UP,TRUE,TRUE,TRUE,+10pips
20:00,RANGING,TRUE,TRUE,TRUE,ranging
21:00,RANGING,TRUE,TRUE,TRUE,ranging
22:00,RANGING,TRUE,TRUE,TRUE,ranging
23:00,DOWN,TRUE,TRUE,TRUE,ranging
0:00,DOWN,FALSE,TRUE,TRUE,ranging
1:00,RANGING,FALSE,TRUE,TRUE,ranging
2:00,RANGING,FALSE,TRUE,TRUE,ranging
3:00,RANGING,TRUE,TRUE,TRUE,+10pips
4:00,RANGING,FALSE,FALSE,FALSE,-10pips
5:00,RANGING,FALSE,FALSE,FALSE,ranging
6:00,RANGING,FALSE,FALSE,FALSE,ranging
7:00,RANGING,FALSE,FALSE,FALSE,ranging
8:00,RANGING,FALSE,FALSE,FALSE,ranging
9:00,RANGING,FALSE,FALSE,FALSE,ranging
10:00,RANGING,TRUE,TRUE,TRUE,+10pips
11:00,RANGING,TRUE,TRUE,TRUE,ranging
12:00,RANGING,TRUE,TRUE,TRUE,-10pips
13:00,RANGING,TRUE,TRUE,TRUE,+10pips
14:00,UP,TRUE,TRUE,TRUE,ranging
15:00,UP,TRUE,TRUE,TRUE,+10pips
16:00,RANGING,TRUE,TRUE,TRUE,ranging
17:00,RANGING,FALSE,TRUE,TRUE,-10pips
18:00,RANGING,FALSE,TRUE,TRUE,ranging
19:00,RANGING,FALSE,FALSE,TRUE,-10pips
20:00,RANGING,FALSE,FALSE,TRUE,+10pips
21:00,UP,FALSE,FALSE,TRUE,ranging
22:00,UP,TRUE,TRUE,TRUE,+10pips
23:00,RANGING,TRUE,TRUE,TRUE,ranging
0:00,DOWN,TRUE,FALSE,TRUE,ranging
1:00,RANGING,TRUE,TRUE,TRUE,ranging
2:00,RANGING,TRUE,TRUE,TRUE,ranging
3:00,DOWN,FALSE,TRUE,TRUE,ranging
4:00,RANGING,TRUE,TRUE,TRUE,+10pips
5:00,UP,TRUE,TRUE,TRUE,ranging
6:00,RANGING,TRUE,TRUE,TRUE,ranging
7:00,RANGING,TRUE,TRUE,TRUE,+10pips
8:00,UP,TRUE,TRUE,TRUE,ranging
9:00,RANGING,TRUE,TRUE,TRUE,ranging
10:00,RANGING,TRUE,TRUE,TRUE,+10pips
11:00,UP,TRUE,TRUE,TRUE,+10pips
12:00,RANGING,TRUE,TRUE,TRUE,ranging
13:00,RANGING,TRUE,TRUE,TRUE,+10pips
14:00,UP,TRUE,TRUE,TRUE,ranging
15:00,RANGING,TRUE,TRUE,TRUE,ranging
16:00,RANGING,TRUE,TRUE,TRUE,+10pips
17:00,UP,TRUE,TRUE,TRUE,+10pips
18:00,UP,TRUE,TRUE,TRUE,ranging
19:00,RANGING,TRUE,TRUE,TRUE,-10pips
20:00,RANGING,FALSE,TRUE,TRUE,ranging
21:00,RANGING,FALSE,TRUE,TRUE,ranging
22:00,RANGING,FALSE,TRUE,TRUE,ranging
23:00,RANGING,FALSE,FALSE,TRUE,-10pips
0:00,RANGING,FALSE,FALSE,TRUE,ranging
1:00,RANGING,FALSE,FALSE,TRUE,ranging
2:00,DOWN,FALSE,FALSE,TRUE,ranging
