Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_10,Pos_Rel_To_MA_20,5_Period_Trend,10_Period_Trend,CandleStick_Pattern,Class_10_pips
2017.01.05,1:00,1.04863,1.05014,1.04807,1.04968,2505,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.05,2:00,1.04969,1.05404,1.04961,1.05402,9136,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.05,3:00,1.05406,1.05407,1.051,1.05194,6198,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.05,4:00,1.05194,1.05286,1.05112,1.05149,4274,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.05,5:00,1.05145,1.05272,1.05138,1.05202,3772,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.05,6:00,1.05203,1.05287,1.05176,1.05263,2653,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.05,7:00,1.05262,1.05635,1.05236,1.05414,6149,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.05,8:00,1.05412,1.05748,1.05405,1.05666,5738,ABOVE,ABOVE,UPTREND,RANGING,NONE,-10pips
2017.01.05,9:00,1.05665,1.05688,1.05431,1.05594,7276,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.05,10:00,1.05593,1.05701,1.05047,1.05152,9355,BELOW,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.05,11:00,1.05152,1.05235,1.05014,1.05046,6339,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.05,12:00,1.05046,1.05135,1.04876,1.04887,4669,BELOW,BELOW,DOWNTREND,RANGING,NONE,+10pips
2017.01.05,13:00,1.04886,1.05012,1.04825,1.04936,4280,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.05,14:00,1.04936,1.05183,1.04918,1.05015,4808,BELOW,BELOW,RANGING,RANGING,BULLISH_ENGULFING,+10pips
2017.01.05,15:00,1.05014,1.05426,1.04936,1.05306,9319,ABOVE,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,+10pips
2017.01.05,16:00,1.05305,1.0551,1.0528,1.05448,7395,ABOVE,ABOVE,UPTREND,RANGING,BULLISH_ENGULFING,+10pips
2017.01.05,17:00,1.05456,1.0609,1.05361,1.06027,12171,ABOVE,ABOVE,UPTREND,RANGING,NONE,+10pips
2017.01.05,18:00,1.06026,1.06153,1.05859,1.05988,9428,ABOVE,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,RANGING
2017.01.05,19:00,1.05988,1.06013,1.05918,1.05983,3838,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.05,20:00,1.05984,1.06074,1.05907,1.05997,3330,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.05,21:00,1.05999,1.06011,1.05869,1.05918,2767,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.05,22:00,1.05919,1.05994,1.05886,1.0599,1963,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.05,23:00,1.05991,1.06096,1.05991,1.06062,1697,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.06,0:00,1.06048,1.06078,1.05986,1.06021,1568,ABOVE,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,+10pips
2017.01.06,1:00,1.06036,1.0613,1.06024,1.06038,2917,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.06,2:00,1.06039,1.06071,1.05855,1.05904,5343,BELOW,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.06,3:00,1.05904,1.05916,1.05757,1.05837,5671,BELOW,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.06,4:00,1.05835,1.05933,1.05796,1.05873,3764,BELOW,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.06,5:00,1.05873,1.05921,1.05802,1.05886,2651,BELOW,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,-10pips
2017.01.06,6:00,1.05886,1.05912,1.0578,1.05804,2372,BELOW,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.06,7:00,1.05803,1.0583,1.05766,1.05826,2256,BELOW,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.06,8:00,1.05825,1.0588,1.0575,1.05788,2392,BELOW,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.06,9:00,1.05789,1.05906,1.05742,1.05842,4039,BELOW,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.06,10:00,1.05843,1.05978,1.05812,1.05937,3979,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.06,11:00,1.05936,1.06085,1.05867,1.0601,4778,ABOVE,ABOVE,RANGING,RANGING,BULLISH_ENGULFING,-10pips
2017.01.06,12:00,1.06011,1.06075,1.05896,1.0606,4122,ABOVE,ABOVE,UPTREND,RANGING,NONE,-10pips
2017.01.06,13:00,1.0606,1.06061,1.05836,1.05861,3561,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.06,14:00,1.0586,1.05868,1.05707,1.05798,3651,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.06,15:00,1.058,1.06212,1.05393,1.05437,13930,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.06,16:00,1.05442,1.05692,1.05355,1.05584,10223,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.06,17:00,1.05583,1.05829,1.05489,1.0573,7927,BELOW,BELOW,RANGING,RANGING,BULLISH_ENGULFING,-10pips
2017.01.06,18:00,1.05731,1.05826,1.05511,1.05587,6206,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.06,19:00,1.05586,1.05619,1.05357,1.05497,3950,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.06,20:00,1.05498,1.0552,1.05252,1.05258,2879,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.06,21:00,1.05257,1.05343,1.0525,1.05311,2318,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.06,22:00,1.05313,1.05355,1.05277,1.05342,1556,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.06,23:00,1.05341,1.05355,1.05294,1.05319,1561,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,0:00,1.05285,1.05334,1.0528,1.05323,859,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,1:00,1.05323,1.05358,1.05257,1.05294,2070,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,2:00,1.05294,1.05359,1.05222,1.05351,3155,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,3:00,1.0535,1.05445,1.05345,1.05421,3261,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,4:00,1.05422,1.05425,1.05325,1.05325,2139,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,5:00,1.05324,1.05348,1.05263,1.05297,2245,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
