Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_20,Pos_Rel_To_MA_50,Pos_Rel_To_MA_100,Class_10_pips
2017.03.08,21:00,1.05487,1.05490,1.05434,1.05447,1043,BELOW,BELOW,BELOW,RANGING
2017.03.08,21:00,1.05448,1.05470,1.05428,1.05468,1169,BELOW,BELOW,BELOW,RANGING
2017.03.08,21:00,1.05467,1.05486,1.05454,1.05482,1049,ABOVE,BELOW,BELOW,RANGING
2017.03.08,21:00,1.05484,1.05516,1.05467,1.05486,1194,ABOVE,BELOW,BELOW,RANGING
2017.03.08,22:00,1.05486,1.05492,1.05428,1.05457,1005,BELOW,BELOW,BELOW,RANGING
2017.03.08,22:00,1.05456,1.05475,1.05423,1.05469,664,ABOVE,BELOW,BELOW,RANGING
2017.03.08,22:00,1.05469,1.05497,1.05440,1.05440,1069,BELOW,BELOW,BELOW,RANGING
2017.03.08,22:00,1.05440,1.05447,1.05411,1.05437,1096,BELOW,BELOW,BELOW,RANGING
2017.03.08,23:00,1.05434,1.05441,1.05422,1.05436,487,BELOW,BELOW,BELOW,RANGING
2017.03.08,23:00,1.05435,1.05445,1.05425,1.05429,318,BELOW,BELOW,BELOW,RANGING
2017.03.08,23:00,1.05428,1.05440,1.05395,1.05396,366,BELOW,BELOW,BELOW,RANGING
2017.03.08,23:00,1.05397,1.05415,1.05386,1.05415,344,BELOW,BELOW,BELOW,RANGING
2017.03.09,00:00,1.05395,1.05423,1.05382,1.05421,272,BELOW,BELOW,BELOW,RANGING
2017.03.09,00:00,1.05420,1.05430,1.05389,1.05406,333,BELOW,BELOW,BELOW,RANGING
2017.03.09,00:00,1.05406,1.05418,1.05387,1.05412,197,BELOW,BELOW,BELOW,RANGING
2017.03.09,00:00,1.05412,1.05426,1.05392,1.05406,248,BELOW,BELOW,BELOW,RANGING
2017.03.09,01:00,1.05406,1.05436,1.05397,1.05404,632,BELOW,BELOW,BELOW,RANGING
2017.03.09,01:00,1.05405,1.05430,1.05393,1.05422,397,BELOW,BELOW,BELOW,RANGING
2017.03.09,01:00,1.05425,1.05440,1.05416,1.05437,257,BELOW,BELOW,BELOW,RANGING
2017.03.09,01:00,1.05436,1.05476,1.05433,1.05448,471,ABOVE,BELOW,BELOW,RANGING
2017.03.09,02:00,1.05448,1.05451,1.05372,1.05382,1011,BELOW,BELOW,BELOW,RANGING
